BOOKID,Downloads,Author,Title,Year,Genre,Desc,Pub,Lang,Status
1,"5,094,805","Brown, Dan","Da Vinci Code,The","Monday, March 1, 2004",T4.1A  Autobiography:  The Arts,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Pending
2,"4,475,152","Rowling, J.K.",Harry Potter and the Deathly Hallows,"Saturday, July 21, 2007",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,French,Approved
3,"4,200,654","Rowling, J.K.",Harry Potter and the Philosopher's Stone,"Thursday, June 26, 1997",T4.1A  Autobiography:  The Arts,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,Dutch,Pending
4,"4,179,479","Rowling, J.K.",Harry Potter and the Order of the Phoenix,"Saturday, April 26, 2003",T8.5  Travel Writing,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,Español,Approved
5,"3,758,936","James, E. L.",Fifty Shades of Grey,"Thursday, April 12, 2012",T16.0  Food & Drink: General,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Approved
6,"3,583,215","Rowling, J.K.",Harry Potter and the Goblet of Fire,"Saturday, March 24, 2001",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,English,Approved
7,"3,484,047","Rowling, J.K.",Harry Potter and the Chamber of Secrets,"Saturday, January 2, 1999",T16.1  National & Regional Cuisine,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,English,Pending
8,"3,377,906","Rowling, J.K.",Harry Potter and the Prisoner of Azkaban,"Saturday, April 1, 2000",T9.4  Fitness & Diet,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,Español,Pending
9,"3,193,946","Brown, Dan",Angels and Demons,"Tuesday, July 1, 2003",T8.5  Travel Writing,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Pending
10,"2,950,264","Rowling, J.K.",Harry Potter and the Half-blood Prince:Children's Edition,"Saturday, April 9, 2005","F2.1  Crime, Thriller & Adventure","Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Bloomsbury Grp,English,Approved
11,"2,479,784","James, E. L.",Fifty Shades Darker,"Thursday, April 26, 2012",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,Español,Pending
12,"2,315,405","Meyer, Stephenie",Twilight,"Saturday, December 9, 2006",T16.0  Food & Drink: General,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.","Little, Brown Book Grp",English,Approved
13,"2,233,570","Larsson, Stieg","Girl with the Dragon Tattoo,The:Millennium Trilogy","Thursday, July 24, 2008",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Quercus Grp,"	Mandarin",Approved
14,"2,193,928","James, E. L.",Fifty Shades Freed,"Thursday, April 26, 2012",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Approved
15,"2,183,031","Brown, Dan","Lost Symbol,The","Saturday, April 25, 2009",Y1.3  Picture Books,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Pending
16,"2,152,737","Meyer, Stephenie",New Moon,"Thursday, September 6, 2007",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.","Little, Brown Book Grp",Hindi,Pending
17,"2,062,145","Brown, Dan",Deception Point,"Saturday, May 1, 2004",T4.1A  Autobiography:  The Arts,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Pending
18,"2,052,876","Meyer, Stephenie",Eclipse,"Friday, June 27, 2008",T8.0  Popular Science,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.","Little, Brown Book Grp",English,Approved
19,"2,005,598","Sebold, Alice","Lovely Bones,The","Friday, June 6, 2003",Y3.1  Children's Annuals,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Pan Macmillan Grp,Mandarin,Pending
20,"1,979,552","Haddon, Mark","Curious Incident of the Dog in the Night-time,The","Thursday, April 1, 2004",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Random House Grp,English,Approved
21,"1,928,900","Brown, Dan",Digital Fortress,"Friday, March 5, 2004",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,English,Approved
22,"1,852,919","Bryson, Bill","Short History of Nearly Everything,A","Tuesday, June 1, 2004",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Transworld Grp,Thai,Approved
23,"1,814,784","Larsson, Stieg","Girl Who Played with Fire,The:Millennium Trilogy","Thursday, July 9, 2009",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Quercus Grp,English,Pending
24,"1,787,118","Meyer, Stephenie",Breaking Dawn,"Saturday, May 24, 2008",F1.1  General & Literary Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.","Little, Brown Book Grp",English,Pending
25,"1,783,535","Carle, Eric","Very Hungry Caterpillar,The:The Very Hungry Caterpillar","Thursday, September 29, 1994",T16.0  Food & Drink: General,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,Chinese,Pending
26,"1,781,269","Donaldson, Julia","Gruffalo,The","Saturday, August 21, 1999",Y2.2  Young Adult Fiction,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Pan Macmillan Grp,English,Approved
27,"1,743,266","Oliver, Jamie",Jamie's 30-Minute Meals,"Thursday, September 30, 2010",T4.0  Biography: General,"Inspired by a true story and told through the startlingly sincere voice of a young narrator, Caroline, Peter Rock's My Abandonment is a riveting journey into life at the margins, and a mesmerizing tale of survival and hope.",Penguin Grp,English,Pending
